Title,Rank,Anime_Urls
Tengen Toppa Gurren Lagann,"
57
",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Violet Evergarden,"
58
",https://myanimelist.net/anime/33352/Violet_Evergarden
Natsume Yuujinchou Roku,"
59
",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
Shingeki no Kyojin Season 3,"
60
",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
Suzumiya Haruhi no Shoushitsu,"
61
",https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
Death Note,"
62
",https://myanimelist.net/anime/1535/Death_Note
Mo Dao Zu Shi: Wanjie Pian,"
63
",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
Ping Pong the Animation,"
64
",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
Mushishi Zoku Shou: Suzu no Shizuku,"
65
",https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
Ookami Kodomo no Ame to Yuki,"
66
",https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
Kizumonogatari II: Nekketsu-hen,"
67
",https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
Hajime no Ippo: Rising,"
68
",https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"
69
",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
One Piece,"
70
",https://myanimelist.net/anime/21/One_Piece
Shouwa Genroku Rakugo Shinjuu,"
71
",https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
Yojouhan Shinwa Taikei,"
72
",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
Natsume Yuujinchou Go,"
73
",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
Natsume Yuujinchou San,"
74
",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
Yakusoku no Neverland,"
75
",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
Fate/Zero 2nd Season,"
76
",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
Fruits Basket 2nd Season,"
77
",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
Kimetsu no Yaiba,"
78
",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Kimi no Suizou wo Tabetai,"
79
",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
